Epoch: 184/500, Train Loss=0.4582623839, Val Loss=0.4966162642
Epoch: 185/500, Train Loss=0.4947035313, Val Loss=0.5347590305
Epoch: 186/500, Train Loss=0.4570051432, Val Loss=0.5351493103
Epoch: 187/500, Train Loss=0.4578524828, Val Loss=0.4978368424
Epoch: 188/500, Train Loss=0.45353055, Val Loss=0.5121439837
Epoch: 189/500, Train Loss=0.488522768, Val Loss=0.5129912836
Epoch: 190/500, Train Loss=0.4730317593, Val Loss=0.5206407365
Epoch: 191/500, Train Loss=0.4964562058, Val Loss=0.4982268441
Epoch: 192/500, Train Loss=0.4054971933, Val Loss=0.496553387
Epoch   192: reducing learning rate of group 0 to 5.0000e-02.
Epoch: 193/500, Train Loss=0.4181751609, Val Loss=0.4788071911
Epoch: 194/500, Train Loss=0.4299954772, Val Loss=0.457452459
Epoch: 195/500, Train Loss=0.4617115259, Val Loss=0.4651513497
Epoch: 196/500, Train Loss=0.4148827791, Val Loss=0.468957339
Epoch: 197/500, Train Loss=0.4340093732, Val Loss=0.4672598328
Epoch: 198/500, Train Loss=0.400193572, Val Loss=0.4766619461
Epoch: 199/500, Train Loss=0.4396485686, Val Loss=0.4644342264
Epoch: 200/500, Train Loss=0.3844139576, Val Loss=0.4624948076
Epoch: 201/500, Train Loss=0.4343045354, Val Loss=0.4696445153
Epoch: 202/500, Train Loss=0.4317649603, Val Loss=0.460280654
Epoch: 203/500, Train Loss=0.3762453794, Val Loss=0.4679609168
Epoch: 204/500, Train Loss=0.4476286173, Val Loss=0.4666648479
Epoch: 205/500, Train Loss=0.4218356013, Val Loss=0.4691298718
Epoch: 206/500, Train Loss=0.4084833264, Val Loss=0.4677894853
Epoch: 207/500, Train Loss=0.3779789805, Val Loss=0.4567966064
Epoch: 208/500, Train Loss=0.4737188816, Val Loss=0.4613461211
Epoch: 209/500, Train Loss=0.4276817441, Val Loss=0.4685141018
Epoch: 210/500, Train Loss=0.3693665266, Val Loss=0.4553503252
Epoch: 211/500, Train Loss=0.4505447745, Val Loss=0.4441152272
Epoch: 212/500, Train Loss=0.4664189219, Val Loss=0.4559471323
Epoch: 213/500, Train Loss=0.3879247904, Val Loss=0.4534251207
Epoch: 214/500, Train Loss=0.4350132346, Val Loss=0.461074954
Epoch: 215/500, Train Loss=0.4166321158, Val Loss=0.450958638
Epoch: 216/500, Train Loss=0.4012941718, Val Loss=0.4620874467
Epoch: 217/500, Train Loss=0.4056879878, Val Loss=0.4543408638
Epoch: 218/500, Train Loss=0.3967467546, Val Loss=0.4488179116
Epoch: 219/500, Train Loss=0.3664459586, Val Loss=0.4561264288
Epoch: 220/500, Train Loss=0.4212095737, Val Loss=0.4502031179
Epoch: 221/500, Train Loss=0.3959072232, Val Loss=0.4537375257
Epoch: 222/500, Train Loss=0.465831995, Val Loss=0.4492291524
Epoch: 223/500, Train Loss=0.3996562958, Val Loss=0.4576550154
Epoch: 224/500, Train Loss=0.4341562986, Val Loss=0.4640748501
Epoch: 225/500, Train Loss=0.407027185, Val Loss=0.4535652853
Epoch: 226/500, Train Loss=0.3761033416, Val Loss=0.4501775446
Epoch: 227/500, Train Loss=0.4101971984, Val Loss=0.4523067503
Epoch: 228/500, Train Loss=0.3568826914, Val Loss=0.4451263547
Epoch: 229/500, Train Loss=0.4355348349, Val Loss=0.4505732542
Epoch: 230/500, Train Loss=0.3424462676, Val Loss=0.446975884
Epoch: 231/500, Train Loss=0.3337774873, Val Loss=0.4602106838
Epoch: 232/500, Train Loss=0.3794475198, Val Loss=0.4418874468
Epoch: 233/500, Train Loss=0.4558611512, Val Loss=0.4485628066
Epoch: 234/500, Train Loss=0.3470575213, Val Loss=0.4453589405
Epoch: 235/500, Train Loss=0.4620176554, Val Loss=0.4442210793
Epoch: 236/500, Train Loss=0.3660348654, Val Loss=0.4444234996
Epoch: 237/500, Train Loss=0.4024964571, Val Loss=0.4441113046
Epoch: 238/500, Train Loss=0.3964678645, Val Loss=0.4476383527
Epoch: 239/500, Train Loss=0.495605886, Val Loss=0.4469752085
Epoch: 240/500, Train Loss=0.4093981981, Val Loss=0.4478284348
Epoch: 241/500, Train Loss=0.4093624353, Val Loss=0.4344626211
Epoch: 242/500, Train Loss=0.4260654449, Val Loss=0.4358582979
Epoch: 243/500, Train Loss=0.434997201, Val Loss=0.464367753
Epoch: 244/500, Train Loss=0.3917925358, Val Loss=0.4411413556
Epoch: 245/500, Train Loss=0.3114985228, Val Loss=0.4481764975
Epoch: 246/500, Train Loss=0.4537152648, Val Loss=0.4429891535
Epoch: 247/500, Train Loss=0.3582495451, Val Loss=0.4424766501
Epoch: 248/500, Train Loss=0.4042307138, Val Loss=0.4416813964
Epoch: 249/500, Train Loss=0.4458771348, Val Loss=0.4522373989
Epoch: 250/500, Train Loss=0.4468225241, Val Loss=0.4308897768
Epoch: 251/500, Train Loss=0.3606802225, Val Loss=0.4280837235
Epoch: 252/500, Train Loss=0.3779510856, Val Loss=0.4362123382
Epoch: 253/500, Train Loss=0.415772438, Val Loss=0.4453099228
Epoch: 254/500, Train Loss=0.4478424788, Val Loss=0.4366461578
Epoch: 255/500, Train Loss=0.3758610487, Val Loss=0.4303149638
Epoch: 256/500, Train Loss=0.4259697199, Val Loss=0.4415471298
Epoch: 257/500, Train Loss=0.4036489129, Val Loss=0.4370198392
Epoch: 258/500, Train Loss=0.4230812192, Val Loss=0.423019764
Epoch: 259/500, Train Loss=0.4179700017, Val Loss=0.4264061933
